id,group_id,member_id,category_id,transaction_at,transaction_type,amount,currency_code,merchant_name,is_shared_expense,is_planned,is_recurring,is_excluded,category_source,category_confidence,source_type,source_row_key,created_at,updated_at
8b0a6814-fbe7-56fe-9e5c-304c3365cdd1,bed2124b-4f88-5ee2-ae55-d9658f641eff,d3d649d6-39d9-546a-844d-2aecdec8d2a5,78ad0112-4e57-4f44-aafc-c32ac479ff8b,2026-06-01T23:05:00+09:00,WITHDRAWAL,31400,KRW,예술의전당,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0001,2026-06-01T23:05:00+09:00,2026-06-01T23:05:00+09:00
949ec35c-5af0-51ad-a2e6-005c1350a85f,bed2124b-4f88-5ee2-ae55-d9658f641eff,27174fc8-9e82-5a6d-abca-74a3d4eba7a1,ccb161ba-aa23-4178-acc3-24fc4dfd96dc,2026-06-27T07:10:00+09:00,WITHDRAWAL,92200,KRW,SK렌터카,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0002,2026-06-27T07:10:00+09:00,2026-06-27T07:10:00+09:00
ca5338c6-95bb-5c5c-b25b-cf12d924bc56,bed2124b-4f88-5ee2-ae55-d9658f641eff,27174fc8-9e82-5a6d-abca-74a3d4eba7a1,ffd53a1e-2440-47a7-96d1-5fd939b23f93,2026-06-14T07:45:00+09:00,WITHDRAWAL,213500,KRW,아시아나항공,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0003,2026-06-14T07:45:00+09:00,2026-06-14T07:45:00+09:00
8625da5e-b0fb-5465-9348-d85cbb6a119d,bed2124b-4f88-5ee2-ae55-d9658f641eff,d3d649d6-39d9-546a-844d-2aecdec8d2a5,8092f436-2059-4df5-9387-2a95d266b57c,2026-05-06T11:05:00+09:00,WITHDRAWAL,4300,KRW,투썸플레이스,TRUE,FALSE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0004,2026-05-06T11:05:00+09:00,2026-05-06T11:05:00+09:00
52799a75-3e97-5023-8ee3-2230289c88d6,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,78ad0112-4e57-4f44-aafc-c32ac479ff8b,2026-07-25T23:05:00+09:00,WITHDRAWAL,22000,KRW,국립중앙박물관,TRUE,TRUE,TRUE,FALSE,RULE,1,MOCK,SCN-01-TXN-0005,2026-07-25T23:05:00+09:00,2026-07-25T23:05:00+09:00
dea0ff8e-8dec-5da9-bfbd-bf291fe7ef8f,bed2124b-4f88-5ee2-ae55-d9658f641eff,27174fc8-9e82-5a6d-abca-74a3d4eba7a1,6cc93ee2-deb4-4cab-bc1c-a303141f434e,2026-05-30T12:40:00+09:00,WITHDRAWAL,18900,KRW,한솥도시락,FALSE,TRUE,TRUE,FALSE,RULE,1,MOCK,SCN-01-TXN-0006,2026-05-30T12:40:00+09:00,2026-05-30T12:40:00+09:00
c826d8cd-40b5-53e8-9f92-6a90c9dd82de,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,ccb161ba-aa23-4178-acc3-24fc4dfd96dc,2026-07-11T16:40:00+09:00,WITHDRAWAL,79000,KRW,SK렌터카,TRUE,FALSE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0007,2026-07-11T16:40:00+09:00,2026-07-11T16:40:00+09:00
387e0e76-02c4-5c8c-a6fb-45f521bbe858,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,ffd53a1e-2440-47a7-96d1-5fd939b23f93,2026-05-09T22:45:00+09:00,WITHDRAWAL,178700,KRW,제주항공,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0008,2026-05-09T22:45:00+09:00,2026-05-09T22:45:00+09:00
bd2190ae-d608-5936-a805-dd9328ad506f,bed2124b-4f88-5ee2-ae55-d9658f641eff,27174fc8-9e82-5a6d-abca-74a3d4eba7a1,78ad0112-4e57-4f44-aafc-c32ac479ff8b,2026-07-22T20:40:00+09:00,WITHDRAWAL,41100,KRW,교보문고,TRUE,TRUE,TRUE,FALSE,RULE,1,MOCK,SCN-01-TXN-0009,2026-07-22T20:40:00+09:00,2026-07-22T20:40:00+09:00
5458ef1c-bed6-568a-8f2f-26df73f9f2d1,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,fd5bb6d0-c4ca-481d-8483-75224fb65b9f,2026-06-08T15:15:00+09:00,WITHDRAWAL,110000,KRW,야놀자,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0010,2026-06-08T15:15:00+09:00,2026-06-08T15:15:00+09:00
cf657633-94cd-5fad-9856-da1df1401abf,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,a8b8023a-b451-4c57-ae64-9d6ceaecb546,2026-05-31T22:05:00+09:00,WITHDRAWAL,51200,KRW,메가박스,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0011,2026-05-31T22:05:00+09:00,2026-05-31T22:05:00+09:00
0c03cc66-cd35-55f8-8792-4f27543fbb3f,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,a8b8023a-b451-4c57-ae64-9d6ceaecb546,2026-06-21T17:30:00+09:00,WITHDRAWAL,51600,KRW,인터파크티켓,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0012,2026-06-21T17:30:00+09:00,2026-06-21T17:30:00+09:00
e938c2db-2daf-5188-9d7d-ad0a4782e1b0,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,ffd53a1e-2440-47a7-96d1-5fd939b23f93,2026-05-10T07:15:00+09:00,WITHDRAWAL,169700,KRW,제주항공,TRUE,TRUE,TRUE,FALSE,RULE,1,MOCK,SCN-01-TXN-0013,2026-05-10T07:15:00+09:00,2026-05-10T07:15:00+09:00
130aa10a-1e82-5420-a37e-a397e5385e16,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,a8b8023a-b451-4c57-ae64-9d6ceaecb546,2026-07-26T17:05:00+09:00,WITHDRAWAL,55300,KRW,인터파크티켓,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0014,2026-07-26T17:05:00+09:00,2026-07-26T17:05:00+09:00
576ccf55-c3ff-5753-a8af-50c699dc7f30,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,ccb161ba-aa23-4178-acc3-24fc4dfd96dc,2026-05-24T19:05:00+09:00,WITHDRAWAL,71900,KRW,롯데렌터카,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0015,2026-05-24T19:05:00+09:00,2026-05-24T19:05:00+09:00
146c2286-c4e6-5ef2-9dcf-ed14262356b7,bed2124b-4f88-5ee2-ae55-d9658f641eff,d3d649d6-39d9-546a-844d-2aecdec8d2a5,ffd53a1e-2440-47a7-96d1-5fd939b23f93,2026-06-21T09:40:00+09:00,WITHDRAWAL,128700,KRW,대한항공,FALSE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0016,2026-06-21T09:40:00+09:00,2026-06-21T09:40:00+09:00
687ef0c7-a409-5bb7-a24f-72a1bc74b4c4,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,41aedffb-9b75-468c-a6a5-b7321298d6b7,2026-07-24T09:15:00+09:00,WITHDRAWAL,169800,KRW,호텔스닷컴,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0017,2026-07-24T09:15:00+09:00,2026-07-24T09:15:00+09:00
d843aa25-371f-5b22-b5bf-6ff8178762df,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,a8b8023a-b451-4c57-ae64-9d6ceaecb546,2026-07-05T19:05:00+09:00,WITHDRAWAL,38000,KRW,인터파크티켓,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0018,2026-07-05T19:05:00+09:00,2026-07-05T19:05:00+09:00
e1ee8c1e-77a2-508e-9c99-baef56247b51,bed2124b-4f88-5ee2-ae55-d9658f641eff,27174fc8-9e82-5a6d-abca-74a3d4eba7a1,3cdf72b5-3b0c-43c7-92a4-fb5261621ce6,2026-07-19T23:50:00+09:00,WITHDRAWAL,51000,KRW,꽃집,TRUE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0019,2026-07-19T23:50:00+09:00,2026-07-19T23:50:00+09:00
7482b6ba-e44d-558e-92c1-57b38a64f813,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,78ad0112-4e57-4f44-aafc-c32ac479ff8b,2026-05-13T19:50:00+09:00,WITHDRAWAL,35900,KRW,국립중앙박물관,FALSE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0020,2026-05-13T19:50:00+09:00,2026-05-13T19:50:00+09:00
c2a6cecb-c08b-59ed-b3fa-3847c446a7ff,bed2124b-4f88-5ee2-ae55-d9658f641eff,c7fac780-11ce-5f66-8edc-82b4d2b9e5a3,41aedffb-9b75-468c-a6a5-b7321298d6b7,2026-07-23T17:50:00+09:00,WITHDRAWAL,160900,KRW,호텔스닷컴,FALSE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0021,2026-07-23T17:50:00+09:00,2026-07-23T17:50:00+09:00
d57e0e47-79f8-5064-9338-e1e653530c76,bed2124b-4f88-5ee2-ae55-d9658f641eff,b76ad890-d0a8-5515-8e56-4cddb903a806,47eb65b3-13f8-4e93-b055-9dd0a09bde5b,2026-06-13T23:20:00+09:00,WITHDRAWAL,79300,KRW,파티룸,FALSE,TRUE,FALSE,FALSE,RULE,1,MOCK,SCN-01-TXN-0022,2026-06-13T23:20:00+09:00,2026-06-13T23:20:00+09:00
